frame_idx,time_s,target,pred_baseline,pred_ftrick,pred_smooth,pred_ftrick_smooth
0,0.0,0.0,-1.5638239,-0.5665076,-1.4021275,-0.40017316
1,0.04,-0.2,-0.88569003,0.13107753,-1.3989275,-0.3968813
2,0.08,-0.2,-0.8932245,0.123326965,-1.3957063,-0.39356774
3,0.12,-0.3,-0.71045345,0.31134048,-1.3924658,-0.3902343
4,0.16,-0.3,-0.93149793,0.0839557,-1.3892078,-0.38688287
5,0.2,-0.3,-1.0651166,-0.053495646,-1.3859342,-0.38351542
6,0.24,-0.3,-1.7497377,-0.75775397,-1.3826469,-0.3801338
7,0.28,-0.3,-1.0419174,-0.029631011,-1.3793478,-0.37673998
8,0.32,-0.3,-1.2135621,-0.20619905,-1.3760386,-0.37333593
9,0.36,-0.3,-1.5860059,-0.5893258,-1.3727213,-0.36992353
10,0.4,-0.3,-0.9901567,0.023614384,-1.369398,-0.36650482
11,0.44,-0.3,-1.0926445,-0.081813045,-1.3660703,-0.36308166
12,0.48,-0.3,-1.6289861,-0.6335388,-1.3627402,-0.359656
13,0.52,-0.3,-0.75734055,0.2631085,-1.3594095,-0.35622978
14,0.56,-0.3,-1.1960778,-0.18821323,-1.35608,-0.3528049
15,0.6,-0.3,-1.0275319,-0.014832802,-1.3527538,-0.34938323
16,0.64,-0.3,-1.2702409,-0.26450357,-1.3494325,-0.34596667
17,0.68,-0.3,-1.6251063,-0.6295477,-1.3461179,-0.342557
18,0.72,-0.3,-1.4150074,-0.41342238,-1.3428118,-0.33915606
19,0.76,-0.3,-1.0714552,-0.060016055,-1.3395159,-0.33576566
20,0.8,-0.3,-1.6708491,-0.67660254,-1.336232,-0.3323875
21,0.84,-0.3,-0.66924083,0.3537352,-1.3329617,-0.32902333
22,0.88,-0.3,-1.5744152,-0.5774026,-1.3297064,-0.32567483
23,0.92,-0.3,-1.3461188,-0.34255788,-1.3264682,-0.32234365
24,0.96,-0.3,-1.2806115,-0.27517164,-1.3232483,-0.31903133
25,1.0,-0.3,-1.0893476,-0.07842164,-1.3200482,-0.31573948
26,1.04,-0.3,-1.5813133,-0.5844985,-1.3168695,-0.31246957
27,1.08,-0.3,-0.7317058,0.28947857,-1.3137136,-0.30922312
28,1.12,-0.3,-1.2132511,-0.20587912,-1.3105817,-0.30600145
29,1.16,-0.3,-0.94002724,0.07518173,-1.3074753,-0.302806
30,1.2,-0.3,-1.0197082,-0.0067846924,-1.3043957,-0.29963803
31,1.24,-0.3,-0.9286333,0.08690252,-1.3013439,-0.29649878
32,1.28,-0.3,-0.8630265,0.15439114,-1.2983214,-0.29338944
33,1.32,-0.3,-0.8708249,0.14636907,-1.2953289,-0.29031113
34,1.36,-0.3,-1.276087,-0.27051738,-1.2923676,-0.28726494
35,1.4,-0.3,-0.5480186,0.47843456,-1.2894386,-0.28425187
36,1.44,-0.3,-1.0141226,-0.0010389313,-1.2865427,-0.2812729
37,1.48,-0.3,-1.1570714,-0.14808792,-1.2836807,-0.27832887
38,1.52,-0.3,-1.129093,-0.119307116,-1.2808535,-0.27542064
39,1.56,-0.3,-1.7224106,-0.7296429,-1.278062,-0.27254897
40,1.6,-0.3,-1.3656199,-0.36261836,-1.2753067,-0.26971462
41,1.64,-0.3,-1.1952341,-0.18734527,-1.2725883,-0.26691824
42,1.68,-0.3,-1.2071804,-0.19963425,-1.2699074,-0.26416042
43,1.72,-0.3,-1.1445181,-0.13517465,-1.2672645,-0.26144177
44,1.76,-0.3,-1.1926591,-0.1846965,-1.2646601,-0.25876275
45,1.8,-0.3,-1.5087146,-0.5098174,-1.2620949,-0.25612384
46,1.84,-0.3,-1.8059559,-0.81558466,-1.2595689,-0.25352547
47,1.88,-0.3,-0.8622345,0.15520588,-1.2570827,-0.25096798
48,1.92,-0.3,-1.7932456,-0.8025097,-1.2546366,-0.24845172
49,1.96,-0.3,-1.1971018,-0.18926662,-1.2522309,-0.24597692
50,2.0,-0.3,-1.4754345,-0.47558284,-1.2498657,-0.24354385
51,2.04,-0.3,-1.3060669,-0.30135712,-1.2475411,-0.24115267
52,2.08,-0.4,-0.2995875,0.7339915,-1.2452575,-0.23880354
53,2.12,-0.4,-0.9299967,0.08549995,-1.2430148,-0.23649652
54,2.16,-0.4,-1.7349681,-0.7425606,-1.2408131,-0.2342317
55,2.2,-0.4,-1.6150644,-0.61921775,-1.2386525,-0.23200907
56,2.24,-0.4,-1.2460293,-0.23959744,-1.2365328,-0.2298286
57,2.28,-0.4,-0.44605237,0.5833255,-1.234454,-0.22769023
58,2.32,-0.4,-0.7102745,0.31152454,-1.2324162,-0.22559384
59,2.36,-0.5,-0.94202995,0.073121585,-1.2304188,-0.22353928
60,2.4,-0.5,-0.99684405,0.016735233,-1.2284621,-0.22152637
61,2.44,-0.5,-1.0508459,-0.03881553,-1.2265456,-0.21955489
62,2.48,-0.5,-0.9972456,0.016322158,-1.2246691,-0.21762456
63,2.52,-0.5,-1.8416948,-0.85234874,-1.2228323,-0.21573512
64,2.56,-0.5,-1.0159535,-0.0029223785,-1.221035,-0.21388625
65,2.6,-0.5,-0.8062244,0.2128225,-1.2192768,-0.21207759
66,2.64,-0.5,-1.3507206,-0.34729174,-1.2175573,-0.21030878
67,2.68,-0.5,-1.2865977,-0.28132957,-1.2158761,-0.20857944
68,2.72,-0.5,-0.3272779,0.7055068,-1.214233,-0.20688914
69,2.76,-0.5,-1.7316699,-0.73916787,-1.2126274,-0.2052375
70,2.8,-0.5,-1.8967475,-0.9089805,-1.2110589,-0.20362402
71,2.84,-0.5,-1.4072273,-0.40541914,-1.2095271,-0.2020483
72,2.88,-0.5,-1.6899152,-0.6962155,-1.2080315,-0.20050986
73,2.92,-0.5,-1.3036468,-0.29886767,-1.2065718,-0.19900826
74,2.96,-0.5,-1.5729833,-0.5759296,-1.2051475,-0.19754301
75,3.0,-0.5,-0.3783461,0.6529738,-1.203758,-0.19611366
76,3.04,-0.5,-1.575232,-0.57824284,-1.202403,-0.19471973
77,3.08,-0.5,-1.0141371,-0.0010538846,-1.2010819,-0.19336076
78,3.12,-0.5,-1.0128458,0.00027454644,-1.1997943,-0.19203627
79,3.16,-0.5,-2.2465615,-1.2688283,-1.1985399,-0.19074583
80,3.2,-0.5,-1.1564656,-0.14746486,-1.197318,-0.18948896
81,3.24,-0.5,-1.2942116,-0.28916186,-1.1961284,-0.18826523
82,3.28,-0.5,-1.2586477,-0.2525778,-1.1949705,-0.18707418
83,3.32,-0.5,-1.0168626,-0.003857553,-1.1938441,-0.18591541
84,3.36,-0.5,-1.470357,-0.4703596,-1.1927485,-0.18478848
85,3.4,-0.5,-1.7898083,-0.79897386,-1.1916837,-0.18369299
86,3.44,-0.5,-1.3959767,-0.39384583,-1.1906489,-0.18262856
87,3.48,-0.5,-1.3322268,-0.32826737,-1.1896439,-0.18159477
88,3.52,-0.5,-0.9406495,0.074541606,-1.1886684,-0.18059129
89,3.56,-0.5,-0.91067,0.105381064,-1.187722,-0.17961773
90,3.6,-0.5,-0.9884816,0.02533757,-1.1868044,-0.17867377
91,3.64,-0.5,-0.84743446,0.17043039,-1.1859152,-0.17775908
92,3.68,-0.5,-1.116275,-0.10612135,-1.1850541,-0.17687333
93,3.72,-0.5,-2.1830354,-1.20348,-1.1842209,-0.17601621
94,3.76,-0.5,-1.8068653,-0.8165202,-1.1834153,-0.17518744
95,3.8,-0.5,-1.8214602,-0.8315337,-1.1826369,-0.17438672
96,3.84,-0.5,-1.5594063,-0.5619632,-1.1818855,-0.17361383
97,3.88,-0.5,-0.54431844,0.4822408,-1.1811609,-0.17286848
98,3.92,-0.5,-1.1966304,-0.18878162,-1.180463,-0.17215043
99,3.96,-0.5,-1.0602075,-0.04844568,-1.1797912,-0.17145948
100,4.0,-0.5,-1.4014597,-0.39948612,-1.1791457,-0.1707954
101,4.04,-0.5,-1.5046911,-0.5056786,-1.178526,-0.17015797
102,4.08,-0.5,-0.831419,0.18690524,-1.1779321,-0.169547
103,4.12,-0.5,-1.4120638,-0.41039446,-1.1773636,-0.1689623
104,4.16,-0.5,-1.6030391,-0.6068476,-1.1768206,-0.16840367
105,4.2,-0.5,-1.3493919,-0.3459249,-1.1763027,-0.16787092
106,4.24,-0.5,-0.4878897,0.5402881,-1.1758099,-0.16736385
107,4.28,-0.5,-0.5607839,0.465303,-1.1753417,-0.1668823
108,4.32,-0.5,-1.4458389,-0.4451383,-1.1748981,-0.16642606
109,4.36,-0.5,-1.748002,-0.7559685,-1.174479,-0.16599494
110,4.4,-0.5,-1.0441066,-0.03188297,-1.1740842,-0.16558875
111,4.44,-0.5,-0.27830064,0.7558889,-1.1737133,-0.16520728
112,4.48,-0.5,-0.98748934,0.02635827,-1.1733664,-0.16485034
113,4.52,-0.5,-1.5263848,-0.5279946,-1.173043,-0.16451767
114,4.56,-0.5,-0.9406263,0.07456548,-1.172743,-0.16420908
115,4.6,-0.5,-1.5906224,-0.5940747,-1.1724662,-0.16392432
116,4.64,-0.5,-1.3623724,-0.3592777,-1.1722122,-0.16366315
117,4.68,-0.5,-1.1843095,-0.17610733,-1.1719811,-0.1634253
118,4.72,-0.5,-0.48498237,0.5432788,-1.1717722,-0.1632105
119,4.76,-0.5,-0.9500758,0.06484494,-1.1715856,-0.16301848
120,4.8,-0.5,-1.2322999,-0.2254743,-1.1714208,-0.16284893
121,4.84,-0.5,-1.5046839,-0.50567114,-1.1712775,-0.16270155
122,4.88,-0.5,-1.3936695,-0.39147246,-1.1711555,-0.16257602
123,4.92,-0.5,-1.2382994,-0.23164584,-1.1710544,-0.16247196
124,4.96,-0.5,-0.49015462,0.5379582,-1.1709738,-0.16238907
125,5.0,-0.5,-1.3300309,-0.32600856,-1.1709133,-0.16232693
126,5.04,-0.5,-1.1631037,-0.1542933,-1.1708727,-0.16228516
127,5.08,-0.5,-0.6850793,0.33744246,-1.1708516,-0.16226338
128,5.12,-0.5,-1.2406938,-0.23410895,-1.1708493,-0.16226113
129,5.16,-0.5,-1.9995577,-1.0147396,-1.1708658,-0.16227797
130,5.2,-0.5,-0.88614655,0.1306079,-1.1709002,-0.16231343
131,5.24,-0.5,-1.3510079,-0.34758726,-1.1709523,-0.16236705
132,5.28,-0.5,-1.0501306,-0.03807976,-1.1710216,-0.16243832
133,5.32,-0.5,-1.9169846,-0.929798,-1.1711075,-0.1625267
134,5.36,-0.5,-1.6756039,-0.6814937,-1.1712096,-0.16263168
135,5.4,-0.5,-1.0427135,-0.030449927,-1.1713272,-0.16275266
136,5.44,-0.5,-1.1222954,-0.11231446,-1.1714598,-0.16288906
137,5.48,-0.5,-1.2205782,-0.21341635,-1.1716068,-0.1630403
138,5.52,-0.5,-1.4871302,-0.48761392,-1.1717676,-0.16320571
139,5.56,-0.5,-0.22756809,0.8080766,-1.1719415,-0.16338463
140,5.6,-0.5,-0.64916015,0.37439188,-1.172128,-0.16357638
141,5.64,-0.5,-0.55331403,0.47298717,-1.1723261,-0.16378021
142,5.68,-0.5,-0.73695725,0.28407645,-1.1725353,-0.16399539
143,5.72,-0.5,-1.2919991,-0.28688586,-1.1727546,-0.16422112
144,5.76,-0.5,-0.9815655,0.032452054,-1.1729835,-0.16445656
145,5.8,-0.5,-1.301762,-0.2969288,-1.1732211,-0.16470088
146,5.84,-0.5,-1.1657681,-0.15703417,-1.1734663,-0.16495319
147,5.88,-0.5,-1.1339226,-0.12427516,-1.1737185,-0.16521256
148,5.92,-0.5,-1.1190399,-0.1089656,-1.1739765,-0.16547804
149,5.96,-0.5,-1.2023094,-0.19462353,-1.1742396,-0.16574864
150,6.0,-0.5,-1.1121141,-0.10184112,-1.1745067,-0.16602337
151,6.04,-0.5,-1.0218271,-0.008964419,-1.1747768,-0.16630119
152,6.08,-0.5,-1.2523204,-0.24606904,-1.1750488,-0.16658103
153,6.12,-0.5,-0.67491454,0.34789878,-1.1753217,-0.16686177
154,6.16,-0.5,-1.3297464,-0.32571584,-1.1755944,-0.16714232
155,6.2,-0.5,-0.6143697,0.41018027,-1.1758659,-0.16742149
156,6.24,-0.5,-1.1070166,-0.096597396,-1.1761347,-0.16769813
157,6.28,-0.5,-0.17015302,0.86713856,-1.1764001,-0.16797101
158,6.32,-0.5,-1.427628,-0.4264051,-1.1766605,-0.16823894
159,6.36,-0.5,-1.3758781,-0.3731708,-1.1769149,-0.16850063
160,6.4,-0.5,-0.898167,0.118242644,-1.177162,-0.16875485
161,6.44,-0.5,-1.6565614,-0.661905,-1.1774006,-0.16900028
162,6.48,-0.5,-0.9112005,0.10483531,-1.1776294,-0.16923565
163,6.52,-0.5,-1.1966444,-0.18879609,-1.1778471,-0.16945963
164,6.56,-0.5,-2.1819715,-1.2023857,-1.1780525,-0.1696709
165,6.6,-0.5,-0.66389257,0.35923687,-1.1782442,-0.16986814
166,6.64,-0.5,-0.81826985,0.20043156,-1.178421,-0.17005
167,6.68,-0.5,-1.4661545,-0.46603656,-1.1785816,-0.17021514
168,6.72,-0.5,-1.2486509,-0.24229428,-1.1787245,-0.17036222
169,6.76,-0.5,-1.3743433,-0.37159193,-1.1788486,-0.17048989
170,6.8,-0.5,-1.6221123,-0.62646776,-1.1789526,-0.17059681
171,6.84,-0.5,-1.490868,-0.49145895,-1.1790351,-0.17068163
172,6.88,-0.5,-1.0037113,0.009670965,-1.1790948,-0.17074302
173,6.92,-0.5,-0.5492362,0.47718203,-1.1791303,-0.17077963
174,6.96,-0.5,-0.7214588,0.30001944,-1.1791406,-0.17079015
175,7.0,-0.5,-0.6619442,0.36124113,-1.1791241,-0.17077324
176,7.04,-0.5,-1.2521657,-0.24590987,-1.1790798,-0.17072761
177,7.08,-0.5,-1.1922672,-0.1842933,-1.1790062,-0.17065193
178,7.12,-0.5,-1.3241088,-0.3199166,-1.1789021,-0.17054494
179,7.16,-0.5,-1.1923769,-0.1844061,-1.1787665,-0.17040536
180,7.2,-0.5,-1.2983402,-0.29340884,-1.1785979,-0.17023192
181,7.24,-0.5,-0.951792,0.06307953,-1.1783952,-0.1700234
182,7.28,-0.5,-1.5264533,-0.52806497,-1.1781572,-0.16977857
183,7.32,-0.5,-0.2957077,0.7379825,-1.1778828,-0.16949627
184,7.36,-0.5,-1.154134,-0.14506635,-1.1775708,-0.16917533
185,7.4,-0.5,-0.7827159,0.2370053,-1.1772201,-0.1688146
186,7.44,-0.5,-1.8851888,-0.8970902,-1.1768297,-0.168413
187,7.48,-0.5,-2.1008165,-1.1189028,-1.1763985,-0.16796945
188,7.52,-0.5,-0.7971878,0.22211832,-1.1759256,-0.16748294
189,7.56,-0.5,-1.5702875,-0.5731565,-1.1754099,-0.16695249
190,7.6,-0.5,-1.5978577,-0.6015175,-1.1748506,-0.16637714
191,7.64,-0.5,-1.375247,-0.37252158,-1.1742468,-0.16575602
192,7.68,-0.5,-1.1204035,-0.11036835,-1.1735977,-0.16508825
193,7.72,-0.5,-1.1336709,-0.1240163,-1.1729023,-0.16437304
194,7.76,-0.5,-1.6151917,-0.6193487,-1.1721603,-0.16360962
195,7.8,-0.5,-0.9447716,0.0703013,-1.1713706,-0.16279732
196,7.84,-0.5,-1.0539343,-0.04199259,-1.1705328,-0.16193546
197,7.88,-0.5,-0.7768683,0.24302065,-1.1696461,-0.16102345
198,7.92,-0.5,-1.8536966,-0.86469465,-1.1687104,-0.16006073
199,7.96,-0.5,-1.1329956,-0.12332161,-1.1677247,-0.15904683
200,8.0,-0.5,-0.7170365,0.30456865,-1.1666889,-0.1579813
201,8.04,-0.5,-1.5015588,-0.5024564,-1.1656024,-0.15686376
202,8.08,-0.5,-0.49347568,0.53454196,-1.1644652,-0.15569389
203,8.12,-0.5,-1.06167,-0.049950086,-1.1632769,-0.15447141
204,8.16,-0.5,-2.1493716,-1.1688507,-1.1620371,-0.15319614
205,8.2,-0.5,-1.1904945,-0.1824698,-1.160746,-0.15186791
206,8.24,-0.5,-1.8211259,-0.83118975,-1.1594032,-0.15048666
207,8.28,-0.5,-1.6096275,-0.61362493,-1.1580089,-0.14905237
208,8.32,-0.5,-1.3473872,-0.34386268,-1.156563,-0.14756508
209,8.36,-0.5,-1.0451144,-0.032919668,-1.1550659,-0.1460249
210,8.4,-0.5,-1.2503762,-0.2440691,-1.1535174,-0.144432
211,8.44,-0.5,-1.4741713,-0.47428334,-1.1519178,-0.14278662
212,8.48,-0.5,-1.2607292,-0.25471902,-1.1502676,-0.14108907
213,8.52,-0.5,-0.5241157,0.5030231,-1.1485671,-0.1393397
214,8.56,-0.5,-1.4059124,-0.40406656,-1.1468165,-0.13753894
215,8.6,-0.5,-1.0035971,0.009788446,-1.1450164,-0.13568728
216,8.64,-0.5,-1.1034034,-0.092880644,-1.1431675,-0.13378525
217,8.68,-0.5,-1.0133721,-0.0002668649,-1.1412702,-0.13183346
218,8.72,-0.5,-1.8067392,-0.8163904,-1.139325,-0.1298326
219,8.76,-0.5,-0.8436652,0.1743078,-1.1373329,-0.12778336
220,8.8,-0.5,-1.3410932,-0.33738813,-1.1352946,-0.12568653
221,8.84,-0.5,-1.473127,-0.4732091,-1.1332108,-0.123542935
222,8.88,-0.5,-1.2523746,-0.24612483,-1.1310824,-0.121353485
223,8.92,-0.5,-0.4951778,0.53279096,-1.1289103,-0.11911913
224,8.96,-0.5,-1.4071124,-0.40530095,-1.1266956,-0.11684086
225,9.0,-0.5,-0.8956257,0.120856844,-1.1244391,-0.114519745
226,9.04,-0.5,-1.4730073,-0.473086,-1.1221422,-0.11215688
227,9.08,-0.5,-0.5877564,0.43755692,-1.1198058,-0.109753445
228,9.12,-0.5,-2.237783,-1.2597979,-1.117431,-0.10731063
229,9.16,-0.5,-1.0807762,-0.06960439,-1.1150193,-0.104829706
230,9.2,-0.5,-1.8301778,-0.84050125,-1.1125718,-0.102311976
231,9.24,-0.5,-1.0137002,-0.00060445815,-1.1100898,-0.099758804
